49
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
33 38 39 42 43 4 45 46 7 8 47 48 11 12 13 21 49 16 17 18 19 27 28 22 23 24 25 26 34 1 29 30 31 32 2 3 35 36 37 5 6 40 41 9 10 44 14 15 20
34 39 2 43 4 5 46 7 8 9 48 11 12 13 14 49 16 17 18 19 20 28 22 23 24 25 26 27 1 29 30 31 32 33 3 35 36 37 38 6 40 41 42 10 44 45 15 47 21
35 6 40 9 10 44 13 14 15 47 18 19 20 21 49 24 25 26 27 28 22 30 31 32 33 34 1 29 36 37 38 39 2 3 41 42 43 4 5 45 46 7 8 48 11 12 16 17 23
36 40 41 10 44 45 14 15 47 48 19 20 21 49 16 25 26 27 28 22 23 31 32 33 34 1 29 30 37 38 39 2 3 35 42 43 4 5 6 46 7 8 9 11 12 13 17 18 24
37 41 42 44 45 46 15 47 48 11 20 21 49 16 17 26 27 28 22 23 24 32 33 34 1 29 30 31 38 39 2 3 35 36 43 4 5 6 40 7 8 9 10 12 13 14 18 19 25
38 42 43 45 46 7 47 48 11 12 21 49 16 17 18 27 28 22 23 24 25 33 34 1 29 30 31 32 39 2 3 35 36 37 4 5 6 40 41 8 9 10 44 13 14 15 19 20 26
39 43 4 46 7 8 48 11 12 13 49 16 17 18 19 28 22 23 24 25 26 34 1 29 30 31 32 33 2 3 35 36 37 38 5 6 40 41 42 9 10 44 45 14 15 47 20 21 27
40 10 44 14 15 47 19 20 21 49 25 26 27 28 22 31 32 33 34 1 29 36 37 38 39 2 3 35 41 42 43 4 5 6 45 46 7 8 9 48 11 12 13 16 17 18 23 24 30
41 44 45 15 47 48 20 21 49 16 26 27 28 22 23 32 33 34 1 29 30 37 38 39 2 3 35 36 42 43 4 5 6 40 46 7 8 9 10 11 12 13 14 17 18 19 24 25 31
42 45 46 47 48 11 21 49 16 17 27 28 22 23 24 33 34 1 29 30 31 38 39 2 3 35 36 37 43 4 5 6 40 41 7 8 9 10 44 12 13 14 15 18 19 20 25 26 32
43 46 7 48 11 12 49 16 17 18 28 22 23 24 25 34 1 29 30 31 32 39 2 3 35 36 37 38 4 5 6 40 41 42 8 9 10 44 45 13 14 15 47 19 20 21 26 27 33
44 15 47 20 21 49 26 27 28 22 32 33 34 1 29 37 38 39 2 3 35 41 42 43 4 5 6 40 45 46 7 8 9 10 48 11 12 13 14 16 17 18 19 23 24 25 30 31 36
45 47 48 21 49 16 27 28 22 23 33 34 1 29 30 38 39 2 3 35 36 42 43 4 5 6 40 41 46 7 8 9 10 44 11 12 13 14 15 17 18 19 20 24 25 26 31 32 37
46 48 11 49 16 17 28 22 23 24 34 1 29 30 31 39 2 3 35 36 37 43 4 5 6 40 41 42 7 8 9 10 44 45 12 13 14 15 47 18 19 20 21 25 26 27 32 33 38
47 21 49 27 28 22 33 34 1 29 38 39 2 3 35 42 43 4 5 6 40 45 46 7 8 9 10 44 48 11 12 13 14 15 16 17 18 19 20 23 24 25 26 30 31 32 36 37 41
48 49 16 28 22 23 34 1 29 30 39 2 3 35 36 43 4 5 6 40 41 46 7 8 9 10 44 45 11 12 13 14 15 47 17 18 19 20 21 24 25 26 27 31 32 33 37 38 42
49 28 22 34 1 29 39 2 3 35 43 4 5 6 40 46 7 8 9 10 44 48 11 12 13 14 15 47 16 17 18 19 20 21 23 24 25 26 27 30 31 32 33 36 37 38 41 42 45
