A9 18
7 18 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 1 8
8 2 3,6,7,8,10,11,12,13,14,15,16,17,18
8 3 2,3,6,7,8,10,11,12,13,14,15,16,17,18
8 4 7,8,11,12,13,14,16,17,18
8 5 5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 6 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 8 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 9 5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 10 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 15 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 1 9
9 2 2,4,6,7,9,10,11,12,15
9 3 3,7,10,11,12,13,14,15,16,17,18
9 4 2,4,6,7,9,12,17,18
9 5 5,6,8,10,11,12,13,14,15,16,17,18
9 6 2,4,5,6,7,8,9,10,11,12,13,14,16,17,18
9 7 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
9 8 5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 9 1,2,4,6,7,8,9,10,11,12,13,14,17,18
9 10 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 11 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 14 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 15 2,3,5,7,8,10,11,12,13,14,15,16,17,18
9 16 3,5,6,7,8,10,11,12,13,14,15,16,17,18
9 17 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
9 18 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 1 10
10 2 2,3,4,5,6,7,8,9,10,11,12,15,16,17,18
10 3 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
10 4 2,3,6,7,10,11,12,15,16,17,18
10 5 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 8 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 9 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 10 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 14 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 1 11
11 2 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 3 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 4 3,7,8,10,11,12,13,14,15,16,17,18
11 5 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 6 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 9 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 11 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
11 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 1 12
12 2 6,7,8,9,10,11,12,13,14,15,16,17,18
12 3 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 4 6,7,8,9,10,11,12,13,14,17,18
12 5 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 9 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 12 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 15 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 16 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
12 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 1 13
13 2 5,8,11,12,13,14,15,16,17,18
13 3 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 4 5,8,11,12,13,14,15,16,17,18
13 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 6 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 7 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 9 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 10 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 13 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
13 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 1 14
14 2 5,8,11,12,13,14,15,16,17,18
14 3 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 4 5,8,11,12,13,14,15,16,17,18
14 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 6 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 7 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 9 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 10 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 14 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
