J2 21
6 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 15 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 16 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
6 17 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 18 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 19 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 20 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6 21 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 1 7
7 2 2,5,8,18,19,20
7 3 3,10,11,12,13,14,15,16,17,21
7 4 7,10,16,17,20,21
7 5 2,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21
7 6 5,6,7,10,11,12,13,14,16,17,18,19,20,21
7 7 1,4,5,6,7,8,9,10,11,13,17,20,21
7 8 2,5,7,8,9,10,12,13,15,16,19,20,21
7 9 5,7,8,9,10,11,12,13,14,16,17,18,19,20,21
7 10 3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 11 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
7 12 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 14 3,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
7 15 3,5,8,10,11,12,13,14,15,16,17,18,19,20,21
7 16 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 17 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
7 18 2,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
7 19 2,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 20 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7 21 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8 1 8
8 2 2,5,7,17,19,21
8 3 3,9,11,12,13,14,15,16,18,20
8 4 8,9,15,18,20,21
8 5 2,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21
8 6 5,6,8,9,11,12,13,14,15,17,18,19,20,21
8 7 2,5,7,8,9,10,12,13,15,16,19,20,21
8 8 1,4,5,6,7,8,9,10,11,13,18,20,21
8 9 3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8 10 5,7,8,9,10,11,12,13,14,15,17,18,19,20,21
8 11 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8 12 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
8 13 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8 14 3,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
8 15 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
8 16 3,5,7,9,11,12,13,14,15,16,17,18,19,20,21
8 17 2,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
8 18 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8 19 2,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
8 20 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
8 21 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 1 9
9 2 9,12,13,16,17,18,19,21
9 3 3,4,5,6,8,10,11,12,13,14,15,17,18,19,20,21
9 4 3,4,6,8,9,10,11,13,14,15,17,18,19,20,21
9 5 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
9 6 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 7 5,7,8,9,10,11,12,13,14,16,17,18,19,20,21
9 8 3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 9 1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 10 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 11 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 12 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 14 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 15 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 16 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 20 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 1 10
10 2 10,12,13,15,17,18,19,20
10 3 3,4,5,6,7,9,11,12,13,14,16,17,18,19,20,21
10 4 3,4,6,7,9,10,11,13,14,16,17,18,19,20,21
10 5 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 6 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
10 7 3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 8 5,7,8,9,10,11,12,13,14,15,17,18,19,20,21
10 9 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 10 1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 11 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 12 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 14 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 15 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 16 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
10 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10 21 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 1 11
11 2 4,5,11,12,13,14,15,16,17,18,19,20,21
11 3 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 4 2,3,4,6,9,10,11,13,14,15,16,17,18,19,20,21
11 5 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 6 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 7 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
11 8 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 9 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 10 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 11 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 12 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 1 12
12 2 3,9,10,11,12,13,14,15,16,17,18,19,20,21
12 3 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 4 5,12,13,14,15,16,17,18,19,20,21
12 5 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 6 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 7 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 8 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
12 9 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 10 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 11 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 12 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 1 13
13 2 5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
13 3 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 4 5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
13 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 7 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 8 3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 9 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
